Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
BUENOS AIRES,GUARAPARI,Espírito Santo,272,89,3,85,12,171
PARAISO,ICONHA,Espírito Santo,272,107,1,106,0,165
PARAÍSO,VARGEM ALTA,Espírito Santo,272,98,1,97,12,162
ALTO VICTOR HUGO,MARECHAL FLORIANO,Espírito Santo,272,82,0,82,0,190
RANCHO ALTO,SAO GABRIEL DA PALHA,Espírito Santo,271,91,1,90,20,160
BEIRA RIO,SANTA MARIA DE JETIBA,Espírito Santo,270,100,2,98,7,163
BAIRRO CARABINA,BARRA DE SAO FRANCISCO,Espírito Santo,270,70,0,67,55,145
ABÓBORA,JAGUARE,Espírito Santo,270,102,0,102,0,168
SAN DOMINGO,MUQUI,Espírito Santo,270,79,1,78,0,191
AGROVILA,SAO ROQUE DO CANAA,Espírito Santo,270,66,0,66,4,200
CÓRREGO DR. MÁRIO FREIRE,RIO BANANAL,Espírito Santo,270,92,1,91,13,165
ASSENTAMENTO OLINDA I,PINHEIROS,Espírito Santo,269,76,0,76,0,193
SÃO PEDRO,SAO ROQUE DO CANAA,Espírito Santo,269,75,0,74,3,191
JARDIM PASSAMANI,SAO GABRIEL DA PALHA,Espírito Santo,269,81,0,80,20,168
FAZENDA DO ESTADO,DOMINGOS MARTINS,Espírito Santo,268,84,2,82,0,184
ASSENTAMENTO OTAVIANO DE CARVALHO,PONTO BELO,Espírito Santo,268,62,0,62,17,189
RODA DÁGUA,CARIACICA,Espírito Santo,268,75,1,64,61,132
AREINHA,PRESIDENTE KENNEDY,Espírito Santo,267,94,1,93,0,173
HORTO FLORESTAL,GUACUI,Espírito Santo,267,89,1,86,4,174
TAQUARAL,ARACRUZ,Espírito Santo,267,59,0,58,4,204
PRAIA DOS PADRES,ARACRUZ,Espírito Santo,266,70,1,66,9,187
SANTA ROSA,IRUPI,Espírito Santo,266,85,2,82,34,147
DOMINGOS MARTINS,DOMINGOS MARTINS,Espírito Santo,265,44,0,44,1,220
DELIO RODRIGUES,ECOPORANGA,Espírito Santo,264,87,0,85,79,98
MEIA LÉGUA,SANTA LEOPOLDINA,Espírito Santo,264,96,0,81,23,145
RESIDENCIAL POR DO SOL,SAO GABRIEL DA PALHA,Espírito Santo,264,89,0,89,2,173
CÓRREGO BRAÇO  DO SUL,SAO DOMINGOS DO NORTE,Espírito Santo,263,90,0,89,0,173
BARRA DO RIO CLARO,SANTA MARIA DE JETIBA,Espírito Santo,263,101,0,101,8,154
SÃO GONÇALO,NOVA VENECIA,Espírito Santo,263,83,0,83,0,180
CORREGO DA AREIA,JAGUARE,Espírito Santo,263,94,1,93,0,169
CORREGO DO MIRACEMA I,BARRA DE SAO FRANCISCO,Espírito Santo,262,63,0,60,40,159
FONTE GRANDE,LINHARES,Espírito Santo,261,92,0,92,25,144
SANTA FÉ,COLATINA,Espírito Santo,261,131,0,131,4,126
