Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
JARDIM CAMBURI,VITORIA,Espírito Santo,101224,25995,139,25845,8166,67063
JARDIM DA PENHA,VITORIA,Espírito Santo,63767,17495,113,17375,4778,41494
PRAIA DA COSTA,VILA VELHA,Espírito Santo,58433,18793,215,18564,3520,36120
Não Encontrado,SERRA,Espírito Santo,46175,702,10,690,534,44939
ITAPOÃ,VILA VELHA,Espírito Santo,38568,11507,107,11393,2257,24804
PRAIA DO CANTO,VITORIA,Espírito Santo,37141,11473,103,11360,1870,23798
PRAIA DE ITAPARICA,VILA VELHA,Espírito Santo,35684,10719,94,10620,1915,23050
Não Encontrado,CARIACICA,Espírito Santo,33421,5928,29,5357,6648,20845
FEU ROSA,SERRA,Espírito Santo,28396,6095,77,6011,1795,20506
GURIRI,SAO MATEUS,Espírito Santo,28270,7301,57,7234,3478,17491
COLINA DE LARANJEIRAS,SERRA,Espírito Santo,27989,7224,39,7178,991,19774
MATA DA PRAIA,VITORIA,Espírito Santo,26009,7435,54,7374,1470,17104
MORADA DE LARANJEIRAS,SERRA,Espírito Santo,25390,6257,33,6204,856,18277
INTERLAGOS,LINHARES,Espírito Santo,24330,7321,83,7236,1844,15165
CENTRO,VITORIA,Espírito Santo,20833,5309,55,5251,1875,13649
MARIA ORTIZ,VITORIA,Espírito Santo,20683,5150,51,5093,2314,13219
BAIRRO DAS LARANJEIRAS,SERRA,Espírito Santo,20457,4689,85,4595,667,15101
BARCELONA,SERRA,Espírito Santo,20085,4907,59,4842,867,14311
COQUEIRAL DE ITAPARICA,VILA VELHA,Espírito Santo,19653,5712,67,5642,1235,12706
NOVA ROSA DA PENHA,CARIACICA,Espírito Santo,19008,4091,60,3755,5644,9273
CAMPO GRANDE,CARIACICA,Espírito Santo,18675,4674,86,4105,4712,9289
NOVO HORIZONTE,SERRA,Espírito Santo,18415,4009,35,3974,1855,12551
VILA NOVA DE COLARES,SERRA,Espírito Santo,18347,3619,47,3568,1388,13340
JARDIM CARAPINA,SERRA,Espírito Santo,17756,3678,37,3634,1785,12293
JARDIM LIMOEIRO,SERRA,Espírito Santo,17511,4441,40,4397,782,12288
PLANALTO SERRANO,SERRA,Espírito Santo,17200,3544,52,3489,1774,11882
ALTO LAGE,CARIACICA,Espírito Santo,16856,3707,91,3344,5238,7911
Não Encontrado,VILA VELHA,Espírito Santo,16762,1512,9,1501,558,14692
PRAIA DO MORRO,GUARAPARI,Espírito Santo,16690,5545,75,5446,970,10175
ATAÍDE,VILA VELHA,Espírito Santo,16390,4601,68,4531,1103,10686
BENTO FERREIRA,VITORIA,Espírito Santo,15722,4458,23,4427,944,10320
CIDADE CONTINENTAL,SERRA,Espírito Santo,15402,4025,55,3965,889,10488
ITARARÉ,VITORIA,Espírito Santo,15305,3596,39,3553,2072,9637
VALPARAÍSO,SERRA,Espírito Santo,15249,3869,23,3845,559,10821
Não Encontrado,VITORIA,Espírito Santo,14937,15,0,10,737,14185
MARCÍLIO DE NORONHA,VIANA,Espírito Santo,14897,4132,58,3963,1567,9198
CARAPINA GRANDE,SERRA,Espírito Santo,14840,3505,44,3457,1019,10316
SANTO ANTÔNIO,VITORIA,Espírito Santo,14366,3661,57,3602,1436,9269
NOVA CARAPINA I,SERRA,Espírito Santo,14187,3160,46,3108,1015,10012
JARDIM TROPICAL,SERRA,Espírito Santo,13096,2953,41,2911,1551,8592
PLANALTO,LINHARES,Espírito Santo,13061,3502,18,3484,1072,8487
GLÓRIA,VILA VELHA,Espírito Santo,13032,3493,57,3433,1026,8513
CENTRO,DOMINGOS MARTINS,Espírito Santo,12993,3497,28,3467,20,9476
AVISO,LINHARES,Espírito Santo,12972,3742,33,3708,1032,8198
ARIBIRÍ,VILA VELHA,Espírito Santo,12777,3544,53,3487,892,8341
BARRAMARES,VILA VELHA,Espírito Santo,12636,2664,22,2639,653,9319
TABUAZEIRO,VITORIA,Espírito Santo,12384,2748,29,2718,1763,7873
CENTRO,VILA VELHA,Espírito Santo,12237,3849,84,3763,781,7607
BEBEDOURO - CENTRO,LINHARES,Espírito Santo,12158,3389,28,3360,1193,7576
ELDORADO,SERRA,Espírito Santo,12063,2878,45,2826,581,8604
JOSÉ DE ANCHIETA I,SERRA,Espírito Santo,11868,2706,41,2662,960,8202
CENTRO,LINHARES,Espírito Santo,11767,3676,38,3638,766,7325
VALE ENCANTADO,VILA VELHA,Espírito Santo,11675,3153,35,3114,1099,7423
CENTRO,SANTA MARIA DE JETIBA,Espírito Santo,11661,3599,24,3557,314,7748
PARQUE RESIDENCIAL LARANJEIRAS,SERRA,Espírito Santo,11660,3098,39,3055,538,8024
Não Encontrado,MONTANHA,Espírito Santo,11482,3576,32,3499,687,7219
JARDIM AMÉRICA,CARIACICA,Espírito Santo,11236,2771,48,2435,2414,6051
RIO MARINHO,VILA VELHA,Espírito Santo,11197,3037,48,2983,831,7329
BONFIM,VITORIA,Espírito Santo,11087,2340,29,2307,1776,6971
SANTA MARTHA,VITORIA,Espírito Santo,10954,2752,32,2718,1415,6787
COBILÂNDIA,VILA VELHA,Espírito Santo,10936,3051,48,3003,779,7106
SOTECO,VILA VELHA,Espírito Santo,10700,2987,51,2933,805,6908
BNH,LINHARES,Espírito Santo,10587,3291,39,3250,692,6604
VILA BETHÂNIA,VIANA,Espírito Santo,10550,2721,31,2622,1103,6726
PORTO DE SANTANA,CARIACICA,Espírito Santo,10548,2578,44,2289,2642,5328
IBES,VILA VELHA,Espírito Santo,10380,2699,34,2659,640,7041
SERNAMBY,SAO MATEUS,Espírito Santo,10280,2364,32,2316,1244,6672
RESISTÊNCIA,VITORIA,Espírito Santo,10146,2295,21,2272,1461,6390
NOVA PALESTINA,VITORIA,Espírito Santo,10093,2206,28,2176,1499,6388
MARUÍPE,VITORIA,Espírito Santo,10072,2698,27,2668,840,6534
CENTRO,SOORETAMA,Espírito Santo,10038,2978,29,2751,334,6726
NOVA CARAPINA II,SERRA,Espírito Santo,9983,2124,19,2102,773,7086
NOVA BETHÂNIA,VIANA,Espírito Santo,9911,2569,33,2469,1089,6253
BARRO VERMELHO,VITORIA,Espírito Santo,9879,2856,15,2838,551,6472
CENTRAL CARAPINA,SERRA,Espírito Santo,9875,2331,29,2300,718,6826
JACUPEMBA,ARACRUZ,Espírito Santo,9865,3080,17,2786,391,6394
CASTELO BRANCO,CARIACICA,Espírito Santo,9763,2168,37,1984,3010,4585
BELA AURORA,CARIACICA,Espírito Santo,9639,2528,36,2299,2105,5006
Não Encontrado,ALEGRE,Espírito Santo,9550,3170,34,3126,0,6380
SANTA CRUZ,LINHARES,Espírito Santo,9541,2244,23,2221,1027,6270
CENTRO,MARECHAL FLORIANO,Espírito Santo,9470,2567,22,2544,5,6898
PRAIA DAS GAIVOTAS,VILA VELHA,Espírito Santo,9455,2772,27,2744,528,6155
ITACIBÁ,CARIACICA,Espírito Santo,9453,2288,44,2042,2369,4796
BALNEÁRIO DE CARAPEBUS,SERRA,Espírito Santo,9119,2116,23,2088,549,6454
DA PENHA,VITORIA,Espírito Santo,9112,1902,29,1868,1439,5771
SANTA INÊS,VILA VELHA,Espírito Santo,9107,2487,22,2463,579,6041
ARAÇÁS,VILA VELHA,Espírito Santo,9075,2339,26,2311,667,6069
Não Encontrado,ARACRUZ,Espírito Santo,9048,3171,17,2846,147,5730
VISTA DA SERRA I,SERRA,Espírito Santo,8996,2020,20,1997,631,6345
Não Encontrado,SAO MATEUS,Espírito Santo,8996,905,1,899,1659,6432
CARIACICA SEDE,CARIACICA,Espírito Santo,8911,2209,40,1983,2340,4362
VILA GARRIDO,VILA VELHA,Espírito Santo,8867,2362,41,2318,685,5820
ULISSES GUIMARÃES,VILA VELHA,Espírito Santo,8866,1803,27,1775,816,6247
JARDIM MARILÂNDIA,VILA VELHA,Espírito Santo,8838,2393,46,2344,685,5760
CARATOÍRA,VITORIA,Espírito Santo,8620,2096,29,2064,952,5572
SÃO PEDRO,VITORIA,Espírito Santo,8600,1968,23,1943,1210,5422
ANDRÉ CARLONI,SERRA,Espírito Santo,8547,2115,30,2082,451,5981
SANTANA,CARIACICA,Espírito Santo,8532,2132,28,1912,2069,4331
ZUMBI,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,8501,2303,39,2257,131,6067
GURIGICA,VITORIA,Espírito Santo,8488,1581,18,1562,1612,5295
BARRA DE ITAPEMIRIM,MARATAIZES,Espírito Santo,8418,3218,48,3120,27,5173
SÃO CRISTÓVÃO,VITORIA,Espírito Santo,8371,2004,27,1976,1017,5350
MUQUIÇABA,GUARAPARI,Espírito Santo,8346,2654,38,2603,519,5173
SERRA DOURADA II,SERRA,Espírito Santo,8304,2000,33,1965,525,5779
SÃO LUIS,SANTA MARIA DE JETIBA,Espírito Santo,8282,2572,12,2553,268,5442
ENSEADA DO SUÁ,VITORIA,Espírito Santo,8220,2438,15,2419,516,5266
SÃO SILVANO,COLATINA,Espírito Santo,8189,3144,27,3081,209,4836
BARRA DO RIACHO,ARACRUZ,Espírito Santo,8189,2444,12,2199,170,5575
CENTRO,MARILANDIA,Espírito Santo,8094,2210,18,2179,203,5681
COQUEIRAL,ARACRUZ,Espírito Santo,8048,2351,11,2149,279,5418
VILA NOVA,ARACRUZ,Espírito Santo,7967,2162,21,1990,207,5598
ARAÇÁ,LINHARES,Espírito Santo,7931,2311,26,2285,557,5063
VILA RICA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,7907,2475,25,2444,98,5334
SÃO GERALDO,CARIACICA,Espírito Santo,7886,1940,28,1754,1986,3960
ALVORADA,VILA VELHA,Espírito Santo,7867,2232,41,2190,589,5046
HONÓRIO FRAGA,COLATINA,Espírito Santo,7842,2345,22,2287,585,4912
BOA VISTA,SAO MATEUS,Espírito Santo,7832,2000,16,1976,825,5007
CANIVETE,LINHARES,Espírito Santo,7809,2413,17,2396,564,4832
MARIA DAS GRAÇAS,COLATINA,Espírito Santo,7787,2687,15,2662,183,4917
SERRA DOURADA I,SERRA,Espírito Santo,7761,1821,25,1795,410,5530
ITAIPAVA,ITAPEMIRIM,Espírito Santo,7750,2638,49,2576,12,5100
REPÚBLICA,VITORIA,Espírito Santo,7746,1876,21,1852,638,5232
BELA VISTA,ARACRUZ,Espírito Santo,7729,2131,25,1969,180,5418
PORTO NOVO,CARIACICA,Espírito Santo,7545,1757,30,1553,2068,3720
VILA NOVA,SANTA TERESA,Espírito Santo,7540,1622,10,1606,6,5912
SÃO JOSÉ,LINHARES,Espírito Santo,7530,2289,18,2271,543,4698
FLEXAL II,CARIACICA,Espírito Santo,7467,1580,14,1422,2544,3343
Não Encontrado,AGUA DOCE DO NORTE,Espírito Santo,7397,2428,37,2300,427,4542
ITAPEBUSSU,GUARAPARI,Espírito Santo,7386,2268,29,2233,533,4585
JARDIM BOTÂNICO,CARIACICA,Espírito Santo,7377,1659,18,1519,2118,3600
HÉLIO FERRAZ,SERRA,Espírito Santo,7348,1867,22,1841,272,5209
VILA DO RIACHO,ARACRUZ,Espírito Santo,7315,1963,11,1753,197,5155
RESIDENCIAL JABAETÉ,VILA VELHA,Espírito Santo,7209,1406,19,1385,616,5187
SANTA LÚCIA,VITORIA,Espírito Santo,7167,2068,18,2048,473,4626
Não Encontrado,SAO JOSE DO CALCADO,Espírito Santo,7123,1646,33,1595,41,5436
SHELL,LINHARES,Espírito Santo,7051,1963,12,1950,519,4569
CENTRO,PIUMA,Espírito Santo,7042,1858,42,1680,674,4510
CENTRO,GUARAPARI,Espírito Santo,7034,2402,47,2340,310,4322
NOVA ALMEIDA CENTRO,SERRA,Espírito Santo,7025,1711,23,1687,699,4615
SANTA RITA,VILA VELHA,Espírito Santo,7003,1672,26,1642,613,4718
PRAIA DO SUÁ,VITORIA,Espírito Santo,6989,1633,22,1609,873,4483
MORADA DE SANTA FÉ,CARIACICA,Espírito Santo,6982,1754,25,1584,1977,3251
ALECRIM,VILA VELHA,Espírito Santo,6941,1792,36,1751,565,4584
AYRTON SENNA,COLATINA,Espírito Santo,6935,2049,15,2025,171,4715
BANDEIRANTES,CARIACICA,Espírito Santo,6916,1752,21,1605,1712,3452
COLUMBIA,COLATINA,Espírito Santo,6890,2327,14,2300,233,4330
BAIRRO DE FÁTIMA,SERRA,Espírito Santo,6866,1836,15,1818,265,4765
NOVA BRASILIA,CARIACICA,Espírito Santo,6850,1826,30,1624,1585,3439
NOVO PORTO CANOA,SERRA,Espírito Santo,6841,1569,23,1544,400,4872
BARRA DO JUCÚ,VILA VELHA,Espírito Santo,6827,1764,25,1738,582,4481
AQUIDABAN,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,6779,1968,45,1921,81,4730
SANTA MÔNICA,VILA VELHA,Espírito Santo,6738,1899,34,1862,476,4363
SÃO FRANCISCO,CARIACICA,Espírito Santo,6702,1677,23,1521,1912,3113
CENTRO,ALEGRE,Espírito Santo,6682,1738,24,1697,8,4936
CONSOLAÇÃO,VITORIA,Espírito Santo,6664,1539,21,1516,983,4142
CRISTOVÃO COLOMBO,VILA VELHA,Espírito Santo,6659,1946,28,1917,470,4243
VILA CAPIXABA,CARIACICA,Espírito Santo,6650,1848,24,1674,1644,3158
GRANDE VITÓRIA,VITORIA,Espírito Santo,6593,1443,11,1429,1026,4124
JUPARANÃ,LINHARES,Espírito Santo,6588,1944,15,1929,372,4272
DIVINO ESPÍRITO SANTO,VILA VELHA,Espírito Santo,6588,1686,36,1649,522,4380
RIO MARINHO,CARIACICA,Espírito Santo,6587,1565,19,1422,1765,3257
CASTELÂNDIA,SERRA,Espírito Santo,6585,1650,15,1633,220,4715
SERRA DOURADA III,SERRA,Espírito Santo,6556,1501,33,1467,369,4686
CENTRO,ITARANA,Espírito Santo,6495,1502,14,1461,324,4669
SANTA BARBARA,CARIACICA,Espírito Santo,6489,1698,29,1545,1631,3160
GILBERTO MACHADO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,6433,1960,11,1943,81,4392
CENTRO,PEDRO CANARIO,Espírito Santo,6417,1558,23,1535,5,4854
CIDADE POMAR,SERRA,Espírito Santo,6410,1364,17,1347,475,4571
SANTA MONICA,GUARAPARI,Espírito Santo,6322,1792,24,1759,593,3937
CENTRO,JAGUARE,Espírito Santo,6303,1954,22,1929,3,4346
INTERLAGOS I,LINHARES,Espírito Santo,6289,1750,11,1738,376,4163
Não Encontrado,NOVA VENECIA,Espírito Santo,6284,2208,29,2164,1,4075
CAMATA,PEDRO CANARIO,Espírito Santo,6280,906,11,895,21,5353
ANDORINHAS,VITORIA,Espírito Santo,6269,1270,8,1261,1006,3993
UNIVERSAL,VIANA,Espírito Santo,6243,1833,28,1763,718,3692
CENTRO,CONCEICAO DA BARRA,Espírito Santo,6201,1676,37,1625,33,4492
GUARANÁ,ARACRUZ,Espírito Santo,6188,1853,23,1703,169,4166
CENTRO,CASTELO,Espírito Santo,6168,1616,16,1588,226,4326
CARLOS GERMANO NAUMANN,COLATINA,Espírito Santo,6135,1963,17,1935,151,4021
MORADA DA BARRA,VILA VELHA,Espírito Santo,6130,1235,6,1227,494,4401
MOVELAR ,LINHARES,Espírito Santo,6110,1765,6,1759,494,3851
GOIABEIRAS,VITORIA,Espírito Santo,6076,1403,11,1390,487,4186
BOA SORTE,CARIACICA,Espírito Santo,6064,1498,26,1353,1337,3229
CHÁCARA PARREIRAL,SERRA,Espírito Santo,6040,1526,6,1520,301,4213
CENTRO,COLATINA,Espírito Santo,6002,2242,25,2197,135,3625
PRAIA GRANDE,FUNDAO,Espírito Santo,5997,1606,14,1577,169,4222
NOVO MÉXICO,VILA VELHA,Espírito Santo,5989,1658,36,1621,401,3930
JOANA DARC,VITORIA,Espírito Santo,5980,1508,8,1499,670,3802
SÃO DIOGO II,SERRA,Espírito Santo,5976,1497,13,1484,297,4182
CENTRO,JERONIMO MONTEIRO,Espírito Santo,5968,1194,19,1075,39,4735
PARAÍSO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5958,1666,19,1643,83,4209
SÃO DIOGO I,SERRA,Espírito Santo,5949,1557,11,1545,237,4155
SANTOS DUMONT,VILA VELHA,Espírito Santo,5940,1724,27,1697,382,3834
Não Encontrado,COLATINA,Espírito Santo,5932,240,9,212,279,5413
ILHA DAS FLORES,VILA VELHA,Espírito Santo,5924,1534,16,1516,428,3962
BELA VISTA,VITORIA,Espírito Santo,5834,1333,9,1322,798,3703
SÃO TORQUATO,VILA VELHA,Espírito Santo,5827,1558,29,1529,476,3793
IPIRANGA,GUARAPARI,Espírito Santo,5823,1633,28,1597,498,3692
CENTRO,PRESIDENTE KENNEDY,Espírito Santo,5812,1646,30,1615,1,4165
PADRE GABRIEL,CARIACICA,Espírito Santo,5801,1179,19,1076,1677,2945
Não Encontrado,LINHARES,Espírito Santo,5799,1493,4,1489,90,4216
MORADA DO RIBEIRÃO,SAO MATEUS,Espírito Santo,5795,1370,5,1352,607,3818
COHAB,SAO MATEUS,Espírito Santo,5771,1332,15,1308,730,3709
RIVIERA DA BARRA,VILA VELHA,Espírito Santo,5754,1250,9,1241,521,3983
RÚBIA,NOVA VENECIA,Espírito Santo,5746,1716,9,1688,2,4028
TAQUARA II,SERRA,Espírito Santo,5721,1208,15,1192,631,3882
INDEPENDÊNCIA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5709,1708,10,1696,72,3929
NOSSA SENHORA APARECIDA,COLATINA,Espírito Santo,5633,2060,12,2031,190,3383
PARQUE JACARAÍPE,SERRA,Espírito Santo,5615,1365,17,1348,164,4086
SANTA TEREZA,VITORIA,Espírito Santo,5597,1535,6,1528,595,3467
JABOUR,VITORIA,Espírito Santo,5594,1401,16,1385,602,3591
FÁTIMA,ARACRUZ,Espírito Santo,5575,1422,13,1313,143,4010
CENTRO,ARACRUZ,Espírito Santo,5573,1462,11,1342,146,3965
NOVA ESPERANÇA,LINHARES,Espírito Santo,5521,1490,11,1479,511,3520
SÃO SEBASTIÃO,RIO BANANAL,Espírito Santo,5511,1720,10,1710,257,3534
INTERLAGOS - CAIC,LINHARES,Espírito Santo,5509,1565,1,1564,380,3564
ILHA DE SANTA MARIA,VITORIA,Espírito Santo,5491,1281,19,1260,589,3621
PORTO CANOA,SERRA,Espírito Santo,5482,1297,16,1279,252,3933
BELA VISTA,CARIACICA,Espírito Santo,5450,1247,27,1126,1617,2586
JESUS DE NAZARETH,VITORIA,Espírito Santo,5446,1028,15,1010,1001,3417
SERRA CENTRO,SERRA,Espírito Santo,5426,1479,17,1461,216,3731
Não Encontrado,DOMINGOS MARTINS,Espírito Santo,5423,988,11,976,6,4429
BARRA DO SAHY,ARACRUZ,Espírito Santo,5414,1543,9,1389,60,3811
CONCEIÇÃO,LINHARES,Espírito Santo,5403,1697,15,1681,340,3366
BAIRRO IRMÃOS FERNANDES,BARRA DE SAO FRANCISCO,Espírito Santo,5402,1498,27,1385,972,2932
VILA LENIRA,COLATINA,Espírito Santo,5374,1780,12,1751,191,3403
PRAIA DE CARAPEBUS,SERRA,Espírito Santo,5333,1237,8,1227,354,3742
ITANGUÁ,CARIACICA,Espírito Santo,5330,1327,22,1187,1419,2584
CENTRO,BAIXO GUANDU,Espírito Santo,5317,1620,22,1589,10,3687
RESIDENCIAL CENTRO DA SERRA,SERRA,Espírito Santo,5308,1296,5,1290,259,3753
CRUZEIRO DO SUL,CARIACICA,Espírito Santo,5291,1367,19,1228,1296,2628
SANTO ANDRÉ,VITORIA,Espírito Santo,5283,1283,24,1257,870,3130
DR. GILSON CARONE,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5254,1327,14,1310,78,3849
CENTRO,BOA ESPERANCA,Espírito Santo,5251,1586,31,1495,83,3582
JOCKEY DE ITAPARICA,VILA VELHA,Espírito Santo,5244,1500,21,1479,286,3458
Não Encontrado,CONCEICAO DA BARRA,Espírito Santo,5238,2011,5,1996,48,3179
BOM SUCESSO,SAO MATEUS,Espírito Santo,5225,1138,14,1116,542,3545
INHANGUETÁ,VITORIA,Espírito Santo,5216,1131,14,1117,726,3359
ITAOCA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5182,1494,24,1467,51,3637
VILA NOVA,SAO MATEUS,Espírito Santo,5158,1040,13,1022,753,3365
ROMÃO,VITORIA,Espírito Santo,5156,1196,19,1177,630,3330
VILA BATISTA,VILA VELHA,Espírito Santo,5154,1290,14,1276,298,3566
AEROPORTO,NOVA VENECIA,Espírito Santo,5131,1277,8,1230,2,3852
CENTRO,ITAGUACU,Espírito Santo,5124,1259,6,1248,0,3865
NOVO PARQUE,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5108,1424,14,1406,86,3598
CANAÃ,VIANA,Espírito Santo,5102,1494,22,1439,520,3088
JARDIM LAGUNA,LINHARES,Espírito Santo,5099,1563,9,1554,286,3250
AEROPORTO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,5096,1575,15,1554,95,3426
ITAOCA,ITAPEMIRIM,Espírito Santo,5093,1734,16,1712,9,3350
JARDIM ATLÂNTICO,SERRA,Espírito Santo,5086,1293,13,1278,160,3633
CAMPO VERDE,CARIACICA,Espírito Santo,5078,1225,21,1115,1415,2438
PONTA DA FRUTA,VILA VELHA,Espírito Santo,5068,1438,14,1423,313,3317
Não Encontrado,VILA VALERIO,Espírito Santo,5061,1941,8,1914,67,3053
PAUL,VILA VELHA,Espírito Santo,5044,1334,26,1308,394,3316
CENTRO,ECOPORANGA,Espírito Santo,5024,1722,27,1575,1537,1765
SANTA HELENA,VITORIA,Espírito Santo,5021,1390,4,1385,247,3384
FLEXAL I,CARIACICA,Espírito Santo,5020,1109,22,982,1392,2519
CENTRO,JOAO NEIVA,Espírito Santo,4979,1444,17,1418,15,3520
SÃO JOSÉ,VITORIA,Espírito Santo,4966,1177,17,1160,764,3025
PRESIDENTE MÉDICI,CARIACICA,Espírito Santo,4950,1205,33,1064,1275,2470
AREINHA,VIANA,Espírito Santo,4941,1279,14,1243,551,3111
ROSA DA PENHA,CARIACICA,Espírito Santo,4941,1222,23,1125,1350,2369
ORIENTE,CARIACICA,Espírito Santo,4938,1161,28,1017,1352,2425
RESIDENCIAL VISTA DO MESTRE,SERRA,Espírito Santo,4928,1187,14,1171,267,3474
CENTRO,SAO GABRIEL DA PALHA,Espírito Santo,4927,1551,18,1485,152,3224
PRAIA DA BALEIA,SERRA,Espírito Santo,4897,1248,3,1244,195,3454
CENTRO,GUACUI,Espírito Santo,4892,1547,42,1475,25,3320
CENTRO,VARGEM ALTA,Espírito Santo,4862,1319,11,1242,343,3200
RESIDENCIAL COQUEIRAL,VILA VELHA,Espírito Santo,4836,1276,15,1259,313,3247
GUARANHUNS,VILA VELHA,Espírito Santo,4830,1257,23,1233,389,3184
INDEPENDÊNCIA,CASTELO,Espírito Santo,4778,1357,8,1342,318,3103
SANTA RITA,MARECHAL FLORIANO,Espírito Santo,4777,1210,8,1202,3,3564
CENTRO,MUNIZ FREIRE,Espírito Santo,4770,2050,23,1897,41,2679
PARQUE MOSCOSO,VITORIA,Espírito Santo,4758,1156,14,1140,443,3159
ITAQUARI,CARIACICA,Espírito Santo,4731,1209,20,1086,1109,2413
TRÊS BARRAS,LINHARES,Espírito Santo,4729,1510,7,1502,310,2909
PARQUE RESIDENCIAL TUBARÃO,SERRA,Espírito Santo,4726,1135,18,1115,230,3361
Não Encontrado,JERONIMO MONTEIRO,Espírito Santo,4726,1180,7,1080,23,3523
Não Encontrado,FUNDAO,Espírito Santo,4715,1118,5,1107,61,3536
CENTRO,PINHEIROS,Espírito Santo,4704,1386,20,1366,1,3317
SANTO ANTÔNIO DO CANAÃ,SANTA TERESA,Espírito Santo,4672,1292,8,1272,3,3377
MANGUINHOS,SERRA,Espírito Santo,4662,1265,10,1255,177,3220
BOA VISTA II (CARAPINA),SERRA,Espírito Santo,4661,935,10,922,245,3481
JEQUITIBÁ,ARACRUZ,Espírito Santo,4648,1295,8,1187,99,3254
NOVA ESPERANÇA,CARIACICA,Espírito Santo,4638,900,20,813,1504,2234
SANTA HELENA,SAO GABRIEL DA PALHA,Espírito Santo,4624,1484,8,1470,243,2897
JOÃO GOULART,VILA VELHA,Espírito Santo,4614,930,9,921,402,3282
SANTO ANDRÉ,CARIACICA,Espírito Santo,4587,1153,17,1044,1183,2251
CENTRO,BARRA DE SAO FRANCISCO,Espírito Santo,4585,1543,23,1402,711,2331
REDENÇÃO,VITORIA,Espírito Santo,4581,1065,14,1051,685,2831
MARGARETH,NOVA VENECIA,Espírito Santo,4575,1386,9,1372,0,3189
APARECIDA,CARIACICA,Espírito Santo,4569,927,18,816,1321,2321
SÃO BENEDITO,VITORIA,Espírito Santo,4549,736,7,729,958,2855
FORTE SÃO JOÃO,VITORIA,Espírito Santo,4526,934,18,913,499,3093
RESIDENCIAL JACARAÍPE,SERRA,Espírito Santo,4520,1110,10,1099,194,3216
PALMITAL,LINHARES,Espírito Santo,4510,1376,3,1373,287,2847
NOSSA SENHORA DA PENHA,VILA VELHA,Espírito Santo,4509,1230,11,1218,274,3005
BELA VISTA,COLATINA,Espírito Santo,4497,1460,14,1439,177,2860
SÃO PEDRO,MUQUI,Espírito Santo,4489,1117,6,1109,0,3372
CORAMARA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4411,1350,16,1330,81,2980
VILA PALESTINA,CARIACICA,Espírito Santo,4385,1112,20,1002,1058,2215
BAIRRO VILA LANDINHA,BARRA DE SAO FRANCISCO,Espírito Santo,4383,1194,19,1124,700,2489
MONTE BELO,VITORIA,Espírito Santo,4381,1001,11,989,335,3045
LINHARES V,LINHARES,Espírito Santo,4345,1230,15,1215,329,2786
INTERLAGOS II,LINHARES,Espírito Santo,4345,1287,5,1282,304,2754
TAQUARA I,SERRA,Espírito Santo,4338,933,12,919,298,3107
TERRA VERMELHA,VILA VELHA,Espírito Santo,4333,1017,13,1004,422,2894
CENTRO,APIACA,Espírito Santo,4323,1408,28,1341,60,2855
CENTRO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4310,1219,12,1205,74,3017
VILAGE DA LUZ,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4310,1089,16,1068,75,3146
ALVORADA,ANCHIETA,Espírito Santo,4296,1070,9,1049,152,3074
PORTO DE CARIACICA,CARIACICA,Espírito Santo,4287,1009,10,901,1142,2136
VARGEM GRANDE DE SOTURNO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4270,1514,13,1498,57,2699
QUILOMBO,IUNA,Espírito Santo,4267,1411,28,1362,494,2362
CENTRO,ICONHA,Espírito Santo,4257,1526,9,1516,0,2731
SANTO ANTÔNIO,SAO MATEUS,Espírito Santo,4248,1067,17,1046,546,2635
RIO BRANCO,CARIACICA,Espírito Santo,4247,1055,11,939,1089,2103
BALNEÁRIO PONTA DA FRUTA,VILA VELHA,Espírito Santo,4229,1031,8,1023,243,2955
AGOSTINHO SIMONATO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,4223,1422,10,1408,69,2732
CENTRO,SAO MATEUS,Espírito Santo,4193,1121,22,1096,419,2653
ALDEIA CAIERAS VELHA - TUPINIQUIM,ARACRUZ,Espírito Santo,4174,1005,2,946,214,2955
COCAL,VILA VELHA,Espírito Santo,4171,1233,10,1222,232,2706
CENTRO,SANTA LEOPOLDINA,Espírito Santo,4151,963,13,783,298,2890
VILA BETÂNEA,VENDA NOVA DO IMIGRANTE,Espírito Santo,4149,1334,8,1321,1,2814
CONJUNTO JACARAÍPE,SERRA,Espírito Santo,4145,959,9,948,114,3072
JUNDIÁ,PINHEIROS,Espírito Santo,4140,1039,6,1033,6,3095
Não Encontrado,AGUIA BRANCA,Espírito Santo,4130,1536,18,1512,23,2571
TIMBUÍ,FUNDAO,Espírito Santo,4106,1076,13,1046,61,2969
